Vestas_V100_2.0MW,
wind_speed,power
3,0
3.5,49
4,97
4.5,183
5,268
5.5,369
6,470
6.5,580
7,722
7.5,900
8,1103
8.5,1315
9,1526
9.5,1705
10,1883
10.5,1940
11,1980
11.5,1995
12,2000
