Gamesa_G87_2.0MW,
wind_speed,power
2.5,0
3,15
3.5,42
4,70
4.5,114
5,158
5.5,208
6,258
6.5,358
7,457
7.5,631
8,805
8.5,969
9,1132
9.5,1300
10,1468
10.5,1609
11,1750
11.5,1825
12,1900
12.5,1950
13,1990
13.5,1995
14,2000
