Vestas_V164_9.5MW,
wind_speed,power
3.5,115
4,249
4.5,430
5,613
5.5,900
6,1226
6.5,1600
7,2030
7.5,2570
8,3123
8.5,3784
9,4444
9.5,5170
10,5900
10.5,6600
11,7299
11.5,7960
12,8601
12.5,9080
13,9272
13.5,9410
14,9500
